 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.0450
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0210
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3580
The depth of the nonerodible layer is......        0.1980
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           914
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
     1        0.0003        0.0466        0.0000        0.0000             -             -
     2        0.0032        0.1980        0.0957        0.0189             -             -
     3        0.0040        0.1980        0.1692        0.0335      -98.9795      -98.9795
     4        0.0006        0.1980        0.1695        0.0336      -33.6156      -52.4457
     5        0.0032        0.1980        0.2005        0.0397       -8.4493       -6.1457
     6        0.0004        0.1980        0.2005        0.0397      -98.9795      -98.9795
     7        0.0001        0.1980        0.2005        0.0397      -98.9795      -98.9795
     8        0.0004        0.1980        0.2005        0.0397      -98.9795      -98.9795
     9        0.0025        0.1980        0.2153        0.0426       -9.2851       -7.9528
    10        0.0006        0.1980        0.2153        0.0426      -98.9795      -98.9795
    11        0.0050        0.1980        0.2569        0.0509       -8.2736       -6.3245
    12        0.0001        0.1980        0.2569        0.0509      -98.9795      -98.9795
    13        0.0002        0.1980        0.2569        0.0509      -98.9795      -98.9795
    14        0.0010        0.1980        0.2573        0.0510      -98.9795      -98.9795
    15        0.0053        0.1980        0.2905        0.0575       -8.9510       -7.5231
    16        0.0016        0.1980        0.2929        0.0580      -98.9795      -98.9795
    17        0.0010        0.1980        0.2929        0.0580      -98.9795      -98.9795
    18        0.0049        0.1980        0.3153        0.0624      -11.5648      -10.7388
    19        0.0026        0.1980        0.3220        0.0638      -98.9795      -98.9795
    20        0.0012        0.1980        0.3220        0.0638      -98.9795      -98.9795
    21        0.0049        0.1980        0.3414        0.0676      -15.1372      -15.3169
    22        0.0009        0.1980        0.3414        0.0676      -98.9795      -98.9795
    23        0.0004        0.1980        0.3414        0.0676      -98.9795      -98.9795
    24        0.0021        0.1980        0.3444        0.0682      -98.9795      -98.9795
    25        0.0007        0.1980        0.3444        0.0682      -98.9795      -98.9795
    26        0.0051        0.1980        0.3632        0.0719      -18.6944      -20.4289
