 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.0930
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0210
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3410
The depth of the nonerodible layer is......        0.7460
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           947
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
     1        0.0006        0.2131        0.0000        0.0000             -             -
     2        0.0063        0.7460        0.1114        0.0831             -             -
     3        0.0080        0.7460        0.1762        0.1314      -98.9795      -98.9795
     4        0.0011        0.7460        0.1785        0.1332      -23.1733      -27.9250
     5        0.0063        0.7460        0.2094        0.1562       -8.9331       -6.1662
     6        0.0007        0.7460        0.2100        0.1567      -98.9795      -98.9795
     7        0.0002        0.7460        0.2100        0.1567      -98.9795      -98.9795
     8        0.0001        0.7460        0.2100        0.1567      -98.9795      -98.9795
     9        0.0007        0.7460        0.2107        0.1572      -98.9795      -98.9795
    10        0.0050        0.7460        0.2280        0.1701       -8.6247       -7.0727
    11        0.0012        0.7460        0.2297        0.1713      -98.9795      -98.9795
    12        0.0100        0.7460        0.2696        0.2012       -8.3932       -6.1624
    13        0.0002        0.7460        0.2696        0.2012      -98.9795      -98.9795
    14        0.0003        0.7460        0.2696        0.2012      -98.9795      -98.9795
    15        0.0020        0.7460        0.2726        0.2034      -98.9795      -98.9795
    16        0.0105        0.7460        0.3055        0.2279       -8.5062       -6.8919
    17        0.0031        0.7460        0.3104        0.2316      -98.9795      -98.9795
    18        0.0021        0.7460        0.3128        0.2334      -98.9795      -98.9795
    19        0.0099        0.7460        0.3369        0.2513      -10.2227       -9.1062
    20        0.0052        0.7460        0.3459        0.2580      -38.9835      -71.4054
    21        0.0024        0.7460        0.3484        0.2599      -98.9795      -98.9795
    22        0.0099        0.7460        0.3686        0.2750      -12.9855      -12.5062
    23        0.0018        0.7460        0.3698        0.2759      -98.9795      -98.9795
    24        0.0009        0.7460        0.3699        0.2759      -98.9795      -98.9795
    25        0.0043        0.7460        0.3757        0.2803      -98.9795      -98.9795
    26        0.0014        0.7460        0.3763        0.2807      -98.9795      -98.9795
    27        0.0102        0.7460        0.3955        0.2950      -16.1063      -16.6470
    28        0.0129        0.7460        0.4199        0.3132      -14.0953      -13.9330
    29        0.0088        0.7460        0.4336        0.3234      -51.7107      -98.9795
    30        0.0005        0.7460        0.4336        0.3234      -98.9795      -98.9795
    31        0.0018        0.7460        0.4343        0.3240      -98.9795      -98.9795
    32        0.0006        0.7460        0.4343        0.3240      -98.9795      -98.9795
    33        0.0009        0.7460        0.4343        0.3240      -98.9795      -98.9795
    34        0.0003        0.7460        0.4343        0.3240      -98.9795      -98.9795
    35        0.0012        0.7460        0.4344        0.3241      -98.9795      -98.9795
    36        0.0088        0.7460        0.4475        0.3338      -98.9795      -98.9795
    37        0.0063        0.7460        0.4549        0.3394      -98.9795      -98.9795
    38        0.0045        0.7460        0.4591        0.3425      -98.9795      -98.9795
